AppID,Rank,Name,ReleaseDate,Category,Price,Developer,Screenshot,Size,Description,UpdatedDate,StarCurrentVersion,RatingCurrentVersion,TopInAppPurchases,DataDate
394716128,232,Urban Ninja,"10,01,2010",Games,0.99,Donut Games,7,9.6,"[u'-- #1 DOWNLOAD IN 28 COUNTRIES --', u""What's even better than Frenchmen, ninjas and heroes?"", u'A chubby Ninja Hero with a French accent of course!', u'Join Francois in a wall climbing, roof jumping adventure as a secret agent.', u""Wrapped in a tight latex suit, he's ready to take on a list of classified missions entrusted him by his agency."", u'Can you handle the dangerous rope swinging, pole slidning and acrobatics required to survive 40 breath-taking missions?', u'* * * * * * * * * * * * * * * * * * * * * * * *', u'WHAT REVIEWERS SAY:', u'- iPild.de: ""Gameplay 20 / 20""', u'- Apple: Rated ""New &amp; Noteworthy"" in iTunes', u'- Apple: Rated ""Hot New Game"" in App Store', u'- Touch Arcade: ""It wouldn\'t surprise me if I went back and ran the numbers that Donut Games is responsible for more favorable game reviews than any other developer""', u'- GamePro: Score 4.5 / 5.0 in ""App Store Games of the Week""', u'WHAT FANS SAY:', u'- ""Donut Games hits another one outta the park!""', u'- ""This is an awesome game! Very addictive and challenging! My 6yo loves it too.""', u'- ""Another great game from donut games! Fun, addictive, and challenging to get three stars starting at level 3!""', u'* * * * * * * * * * * * * * * * * * * * * * * *', u'GAME FEATURES:', u'- Jump, sneak, climb and slide your way through various locations', u'- 40 classified missions', u'- BONUS GAME: Ninja Slide', u'- BONUS GAME: Bubble Ride', u""- TRAINER mode: Ability to play any level in Trainer mode -- Perfect for inexperienced gamers or if you'd like to practice!"", u""- Donut Games' famous 3-star ranking system: Increased replay value!"", u'- Achievements to unlock', u'- Global High Scores: Submit your scores online', u'- Collectors Icon #23', u'- EXCLUSIVE: Not available on any other platform than iDevices (iPhone, iPad, iPod Touch)', u'- And so much more...', u'TECH FEATURES:', u'- Retina / HD support', u'- Game Center support', u'- Universal App (iPad, iPhone, iPod Touch)', u'* * * * * * * * * * * * * * * * * * * * * * * *', u'Enjoy another Donut Games release!']","06,14,2011",4,4426,0,"04,06,2012"
535747605,183,Master of Dungeon,"07,19,2012",Games,0.99,PLAYBEAN,10,44.2,"[u'\u2605\u2606 LIMITED TIME OFFER : SPECIAL PRICE!!!  \u2606\u2605', u'Appreciate customers event for only limited period on sale! ', $0.99 (75% Discount!!) ', u'Do not miss this chance!!! ', u'::::::::::::::::::::::::::::::::::::::::  ', u","08,07,2012",4.5,139,5,"08,10,2012"
465072566,292,Galaxy on Fire 2??? HD,"10,07,2011",Games,4.99,FISHLABS,10,622,"[u'\u2729 50% OFF \u2013 SPECIAL SALE: Buy Galaxy on Fire 2 HD for spectacular $ 4,99 / \u20ac 3,99 / \xa3 2,99 for a limited time only! \u2729', u'Galaxy on Fire 2\u2122 HD is the completely remodeled HD-version of the award-winning saga that set the standard for sci-fi on the App Store, now available for iPhone 4S, iPad 2 and Retina display of the new iPad!', u'STORY', u'A hyperdrive malfunction sends intergalactic adventurer and war hero Keith T. Maxwell tumbling through space and time. Awakening 35 years later at the far end of the galaxy, he quickly finds himself fighting for his life against a mysterious alien armada that is wreaking havoc on the warring races occupying this volatile sector of space.', u'VALKYRIE HD \u2013 A NEW ADVENTURE BEGINS\u2026', u'When a high-ranking scientist of the Deep Science society is kidnapped, it is up to Keith T. Maxwell to get to the bottom of things and reveal all kinds of conspiracies on board of the mysterious Valkyrie station commanded by the shady weapons dealer Alice. Nothing is as it seems and before he knows what is really going on, Keith finds himself trapped in a thick web on intrigues which leads to a thundering finale with an unexpected twist. ', u'If you already own the non-HD version of Galaxy on Fire 2, you will be able to unlock Valkyrie HD for free!', u'GAMEPLAY', u'Follow the rich and engrossing storyline through a fully 3D, war-torn galaxy with over 10 hours of action-packed gameplay, or head off on an interplanetary journey of your own design: mining asteroids, trading ore and supplies, taking on mercenary missions, working as a pirate and manufacturing new weapons and equipment as you seek adventure and excitement on the final frontier. Valkyrie HD adds tons of new content, features and missions to the game and offers another 5+ hours of action-packed sci-fi gaming at its best!  ', u'FEATURES', u'\u2022 A vast, living galaxy with over 20 star systems and dozens of beautifully rendered planets', u'\u2022 100+ unique 3D space stations and more than 30 customizable spaceships', u'\u2022 Choose between story-driven, mission-based and sandbox gameplay', u'\u2022 Complex trading system with over 170 different commodities', u'\u2022 High quality visuals and music with 3D sound and full voice acting in English', u'\u2022 Action Freeze\u2122: 3D screenshot tool to save screenshots from any perspective', u'GALAXY ON FIRE 2\u2122 HD FEATURES', u'\u2022 All 3D models rebuilt from scratch for console-quality visuals and a crystal-clear gaming experience on iPad 2 and iPhone 4S', u'\u2022 Assets, such as jump gates and asteroids, feature even more textures and up to four-times the original resolution', u'\u2022 Individual extra high-resolution texture sets in 2048x2048 for all 30 spaceships including diffuse, normal, and specular maps in High Definition', u'\u2022 Additional light sources for atmosphere and breathtaking realism', u'\u2022 Additional OpenGL shaders and post effects as well as heavily revised explosion, engine flare, muzzle flash, and other special effects', u'\u2022 Native support for the Retina display of the new iPad, iPad 2 and the iPhone 4S', u'\u2022 Synchronisation of save games of all Galaxy on Fire 2\u2122 versions and devices via iCloud', u'VALKYRIE\u2122 HD \u2013 SPECIAL FEATURES', u'\u2022 New story line with English voice overs', u'\u2022 New Vossk and Deep Science ships ', u'\u2022 New weapons and equipment', u'\u2022 New star systems and stations', u'\u2022 Your own space-station for storing goods and spaceships', u'GALAXY ON FIRE 2\u2122 IN THE PRESS:', u'""Must have! Galaxy on Fire 2 is a supernova.""', u'Slidetoplay.com - 10/10', u'""Galaxy on Fire 2 is a huge game\u2026 there really isn\u2019t a more complete space game in the App Store.""', u'148Apps.com \u2013 4.5/5', u'SYSTEM REQUIREMENTS', u'GOF2 HD is optimized for iPhone 4S, iPad 2 and the new iPad and we\u2019d recommend buying the SD game for a previous device.', u'EXTERNAL', u'GOF2 HD Official Trailer - http://bit.ly/gof2-hd-trailer', u'Fishlabs YouTube Channel - http://www.youtube.com/fishlabsgames', u'Follow Fishlabs on Facebook - http://www.facebook.com/fishlabs', u'Fishlabs Homepage - http://www.fishlabs.net/', u'Galaxy on Fire Homepage - http://www.galaxyonfire.com/']","07,03,2012",4.5,122,7,"07,27,2012"
322852954,26,Words With Friends,"07,19,2009",Games,2.99,Zynga,5,13.3,"[u'Play the AD-FREE version of Words With Friends, the game more of your friends are playing than any other word game!', u'Experience for yourself why more than 20 million people are addicted to the word building, triple score seeking, chat bubble sending goodness of Words With Friends. ', u'_________________________________________', u'Not ready to buy? Try Words With Friends Free.', u'If you already have the free version, switching to the paid version is easy as pie. Your existing account, games and friends will carry over automatically to this ad-free version.', u'_________________________________________', u'PRAISE FOR WORDS', u'\u2022 ""Delightfully addictive."" \u2013 GeekSugar', u'\u2022 ""Social gaming at its finest."" \u2013 Fox News', u'\u2022 ""Everyone who owns an iPhone or iPod Touch should have this game on their device."" \u2013 Touch Arcade', u'ADDICTIVE FEATURES', u'\u2022 Simple and familiar gameplay you know and love', u'\u2022 Turn-based design lets you play up to 20 games simultaneously', u'\u2022 Play with your friends or match-make instantly with a random opponent', u'\u2022 Connect to Facebook to find even more of your friends to play', u'\u2022 Stay in touch with friends and family with in-game chat messaging', u'\u2022 Push notifications tell you when it\u2019s your turn', u'\u2022 Access your games across your iPhone, iPad and/or iPod touch', u'_________________________________________', u'If you like Words With Friends, try Hanging With Friends. And iPad users, check out Words With Friends HD.', u'Already a fan of the game?', u'Like us on Facebook: http://www.facebook.com/WordsWithFriends', u'Follow us on Twitter: http://twitter.com/WordsWFriends', u""Use of this application requires a Facebook or Games With Friends account and is governed by the Zynga Terms of Service. Collection and use of personal data are subject to Zynga's Privacy Policy. Both policies are available in the Application License Agreement below as well as at www.zynga.com. Social Networking Service terms may also apply.""]","03,15,2012",4.5,13657,8,"04,06,2012"
337402021,211,Harry Potter: Spells,"11,15,2009",Games,0.99,Warner Bros.,5,102,"[u'Now available at $0.99 for a limited time only!  Also check out LEGO Harry Potter:Years 1-4 for a limited time $0.99 as well!', u'Transform your iPhone or iPod touch into a magic wand and get ready to duel! ', u'You are officially invited to attend Hogwarts School of Witchcraft and Wizardry. Once enrolled, receive the wand destined for you before being Sorted into one of the four houses by the Sorting Hat. Then using specific hand gestures for each of the 17 included spells, practice, practice, practice before experiencing the ultimate contest - DUELLING! ', u'Compete against the computer or challenge a fellow classmate to a real-time duel \u2013 player versus player, casting spells from one device to the other. Earn valuable house points for your house while learning, practicing and duelling. Visit the house points section to view your official stats and global ranking. Finally, share it with the rest of the world by posting it to your Facebook page via Facebook Connect.  ', u'FEATURES:', u'\u202223 Powerful Spells  - Stun your opponent with STUPEFY or disarm them with EXPELLIARMUS, and many, many more', u'\u202217 spells included in this premium version with two additional spell packs available from the all-new \u201cMore Spells\u201d option in the main menu', u'oAll-New Spell Pack #6* \u2013 CRUCIO, IMPERIO and WINGARDIUM LEVIOSA', u'*Requires Update 1.6', u'\u2022ALL 3 UNFORGIVABLE CURSES ARE AVAILABLE NOW!!! ', u'\u2022All-New Push Notifications:', u'oStay up to date with everything Harry Potter by receiving push notifications directly to your device!!!', u'\u2022All-New Death Eater skin:', u'oUnlock all 23 spells to skin your menu screen with the all-new Death Eater skin', u'\u20222 Control Schemes:', u'oTouch-Screen \u2013 Use your finger to draw shapes on the screen to cast spells.', u'oMotion Controls - Draw shapes vertically in the air with your device to cast spells.', u'\u2022Intense Duelling Action:', u'oSingle Player - Cast spells against three different difficulty levels', u'oMultiplayer \u2013 Challenge a friend to a duel and cast spells from one device to the other in real-time encounters', u'\u2022Authentic Experience - From visiting Ollivanders to being sorted by the Sorting Hat ', u'\u2022Practice Makes Perfect - Tutorial system educates and trains, grading you on your spell casting performance, thus unlocking spells as you go', u'\u2022Monitor Your Ranking \u2013 Keep an eye on your wins, losses and House Cup rankings to be the strongest wizard in Hogwarts', u'\u2022Share With Your Friends \u2013 Post your Harry Potter: Spells stats on your Facebook page using Facebook Connect', u'--------------------------', u'Also, be sure to visit the Harry Potter: Spells Facebook and Twitter pages to find out when additional spells are available!', u'BECOME A FAN - facebook.com/HarryPotterSpellsGame ', u'FOLLOW US - twitter.com/HPSpellsGame  ', u'--------------------------', u'\u201cA-M-A-Z-I-N-G!! Best app on iTunes!\u201d \u2013 User review', u'--------------------------', u'*Help Harry Potter: Spells climb into the top 10 by writing a review*', u'--------------------------', u'Check out these other exciting WB apps:', u'\u2022 Scribblenauts Remix', u'\u2022 LEGO Harry Potter: Years 1-4', u'\u2022 LEGO Batman: Gotham City Games', u""\u2022 Happy Feet\u2122 Two: Erik's Adventure"", u'--------------------------', u'Visit HarryPotterSpellsApp.com for\u2026', u'\u2022 Helpful Tips Video', u'\u2022 Official Game Trailer', u'\u2022 Harry Potter Cast Trailer', u'\u2022 Gameplay Videos', u'\u2022 Screenshots', u'\u2022 Much, much, more!']","11,04,2010",4,2715,2,"04,06,2012"
404086528,56,LEGO Harry Potter: Years 1-4,"11,19,2010",Games,0.99,Warner Bros.,10,453,"[u'Now available at $0.99 for a limited time only!  Also check out Harry Potter Spells for a limited time $0.99 as well!', u""Experience the events of Harry Potter's first four years at Hogwarts \u2013 LEGO\xae style! "", u'  --------------------------------------', u'-Top iPhone Game of 2010 (RPG Category) - TouchArcade***', u'""This is the game to show your doubting friends as I don\'t believe a game of this depth or breadth presently exists on the App Store, and certainly not one with the care and attention that the Warner Bros. team have expended on it.""(TouchArcade.com)', u'""Okay, so if you\'re buying only one game this week, which one should it be? No contest: Lego Harry Potter. It\'s that good, even if you\'re not a fan of boy wizards or building blocks.""(CNET.com)', u'""...early impressions seem to indicate that this could be one of the best games currently on the platform.""(Kotaku.com)', u'""LEGO Harry Potter looks razor sharp on a Retina display device.""(IGN - 8 out of 10)', u'""...instantly charming and thoroughly impressive.""(PocketGamer - 8 out of 10)', u'  ----------------------------------', u'Play as Harry, Ron, Hermione and many more as you explore Hogwarts and engage in countless hours of gameplay spread across 40+ levels based on the Harry Potter books and movies. LEGO\xae Harry Potter\u2122: Years 1-4 brings the world of LEGO\xae Harry Potter to life on the iPhone, iPod touch and iPad, giving gamers the power to play with LEGO characters and models in a brand new way. Based on the first four Harry Potter books and movies, LEGO\xae Harry Potter: Years 1-4 builds on the foundations of previous LEGO\xae video games by offering a mix of fun, accessible gameplay and light-hearted humor \u2013 appealing to all ages. Players can explore the wizarding world and feel as though they are at Hogwarts. ', u'Features:', u'\u2022 The Events of Harry Potter\u2019s First Four Years at Hogwarts \u2013 LEGO\xae style! \u2013 including the Triwizard Tournament, the Quidditch World Cup, the Basilisk battle in the Chamber of Secrets, the encounter with Aragog and the face-to-face confrontation with Voldemort himself.', u'  \u2022 Stunning Graphics \u2013 take advantage of the Retina Display.', u'\u2022 Intuitive Touch-Screen Controls \u2013 take complete control over your character to explore, solve puzzles and duel.', u'\u2022 An Authentic Harry Potter Experience:', u'  - Visit Iconic locations \u2013 including Diagon Alley, the Forbidden Forest, the village of Hogsmeade and Hogwarts castle \u2013 a grand, immersive 3-D environment and the largest, most detailed LEGO\xae game location ever built. ', u'  - Play as over 100 characters \u2013 including Harry Potter, Ron Weasley, and Hermione Granger.', u'  - Attend Hogwarts \u2013 cast spells, mix potions, fly on broomsticks and complete hundreds of magical tasks to earn points.', u'\u2022 Character Customization \u2013 using hundreds of different LEGO\xae Harry Potter pieces.', u'\u2022 Classic LEGO\xae Humor \u2013 enjoy the characteristic comedic LEGO\xae \u2018twist\u2019 on events from the fiction.', u'\u2022 Endless Replayability \u2013 use \u2018Freeplay\u2019 to discover areas of gameplay not accessible in Story Mode.', u'\u2022 Collectables \u2013 pick up a huge variety of items throughout the game.', u'  -------------------------- ', u'**Check out these other exciting WB apps:', u'\u2022 Scribblenauts Remix', u'\u2022 Tapper World Tour', u'\u2022 Tapper World Tour HD (iPad only)', u'\u2022 Harry Potter: Spells', u'\u2022 LEGO Batman: Gotham City Games']","01,18,2011",4,2749,0,"04,06,2012"
342842881,109,Where's Waldo???? The Fantastic Journey,"12,09,2009",Games,0.99,Ludia,5,169,"[u'***March Madness Limited Time Promo -- All Waldo Games only $0.99 Cents!***', u""--- Get Where's Waldo The Fantastic Journey for iPad OR iPhone for Only $0.99 cents ---"", u""--- Get Where's Waldo In Hollywood for iPad OR iPhone for Only $0.99 cents ---"", u'GET THEM ALL!!', u'Experience the game that rocketed to #1 in 9 different countries!  ', u'The first game in the Where\u2019s Waldo? franchise, Where\u2019s Waldo? The Fantastic Journey, has sold millions of copies around the world and now is updated with new game play options, including the \u201cexplorer\u201d mode with untimed searches and unlimited map scrolling, and improved performance, stability and speed.', u'Reviewers rave:', u'**App Advice: \u201c...the best Hidden object game in the App Store.\u201d', u'**GameZebo: \u201c...excels in its fun game play, story, graphics, voice talent and humor.\u201d', u'**Touch Gen: \u201cIf you are looking for a polished hidden object game you can\u2019t go wrong with Where\u2019s Waldo? The Fantastic Journey.\u201d', u'**App Bite: \u201c...good job with bringing the Waldo experience in a truly interactive way to the iPhone.\u201d', u'Where\u2019s Waldo? The Fantastic Journey is the ultimate search and find adventure for all ages, as players scour the virtual globe in search of Waldo and his friends Wizard Whitebeard, Wenda and Woof, and Waldo foe, Odlaw.  In addition, there are hundreds of cleverly camouflaged items to find within the 12 different magical worlds.   Game play is enhanced with surprise features designed to challenge players during their search, including:', u'\u2022 Wacky Paint: Splatters of colorful paint fill the screen.', u'\u2022 Frosty:  Freezes the search window by encasing it in ice.', u'\u2022 Thunder Clap: Makes the whole screen shake.', u'\u2022 Upside Down: Flips the search upside down.', u'\u2022 Sparkly: Keep an eye on twinkle and glitter effects to detect items.', u'Join the search and enjoy a dynamic hidden-object game experience anywhere, anytime.']","04,05,2011",4,4631,0,"04,06,2012"
414723566,293,Smoothie Moves ,"01,19,2011",Games,0.99,Gameloft,10,834,"[u'New iOS game sale! Order &amp; Chaos\xa9 Online is now $0.99 for a limited time!', u'Finally a true real-time, full-3D MMORPG comes to the App Store: Explore a vast heroic fantasy world and join thousands of players in this massively multiplayer online experience that pushes the boundaries of epic!', u'** FREE 3-MONTH SUBSCRIPTION GRANTED at your first log in! Then you can renew your allegiance for only $0.99/month, $1.99 for 3 months or $2.99 for 6 months! **', u'** IMPORTANT: Please make sure your device is compatible with this app. Compatible devices include: iPhone 3GS, iPhone 4, iPod touch 3G &amp; 4G and iPad 1, 2 &amp; New iPad', u'A Gameloft LIVE! account is required to play the game. **', u'WHO YOU WILL BE? Use the advanced character creation system to customize your hero:', u'\u2022 4 races available: Elves and Humans fight for Order, Orcs and Undead for Chaos. ', u'\u2022 Choose your gender, appearance, class and talent. With over 1000 skills and 2000 pieces of equipment to discover, your adventure will not be over soon.', u'\u2022 Create up to 4 different characters to play.', u'INTERACT WITH THE COMMUNITY', u'\u2022 Make friends or enemies, trade, challenge, communicate and more: a wide range of interactions makes each player a living part of this universe.', u'\u2022 Join a party or guild to become stronger and coordinate with your teammates, or you can choose to adventure solo, interacting with other players peacefully or otherwise\u2026', u'THE WORLD IS YOURS', u'\u2022 Travel through the most majestic settings - from dark forests to deserts, jungles, mountains and more - on foot or by magical means. ', u'\u2022 Talk and interact with hundreds of characters to find over 500 quests to perform.', u'Enter the legend now!', u'*********', u'Follow Gameloft on Twitter to get more info about all our upcoming titles at http://twitter.com/gameloft, like us on Facebook at http://facebook.com/gameloft or visit us on www.gameloft.com!']","05,31,2012",4.5,2750,10,"08,17,2012"
441242571,118,RPG - Fantasy Chronicle,"06,07,2011",Games,0.99,"Kotobuki Solution Co., Ltd.",5,28.4,"[u'** LIMITED OFFER: SPECIAL PRICE !!! 85% OFF(USD 6.99 -&gt; USD 0.99)!!! ***', u'\u2605Sound track also on sale! Search the iTunes Store for \u201cFantasy Chronicle!\u201d', u'\u201cFantasy Chronicle,\u201d the RPG for fighting and bonding with companions and guardian beasts, has been released!', u'The orphan Light grew up in the village of Selka. Realizing his dream of joining Holos Over, Light swore to protect his village. But while he was on his first mission, someone attacked and destroyed Selka. ', u'In his grief, Light hears the call of a legendary Guardian Beast. To obtain special abilities, Light accepts the call and makes a covenant with the powerful beast.  ', u'\u25a0Bond with companions and guardian beasts', u""You'll forge bonds with each companion and guardian beast. The stronger these bonds, the stronger the beast and the more effective your coordinated attacks with your companions will become. "", u'Additionally, the strength of your bonds may affect the unfolding of your story. ', u'\u25a0Training and Strengthening', u""In the field you'll find materials for training and strengthening your weapons and armor. "", u'Books of Training, found in the field or gained by completing Guild missions, allow expanded variations on your training and skills. You may also be able to create uniquely powerful weapons using these books.', u'\u25a0Your little helper \u201cHam-ko\u201d appears in the game!', u'The little helper \u201cHam-ko,\u201d makes it much easier to collect materials from the field. ', u'=================', u'Supported models:', u'This game operates on second generation and later iPhone3GS/iPod touch (later than iOS3.0).', u'The game will not run correctly on the first generation iPhone 3G and iPod touch.', u'=================', u'\u25a0Video of gameplay now showing!', u'Video of Chronicle gameplay is available on the Youtube \u201cKEMCO channel!\u201d', u'http://www.youtube.com/user/KemcoGames', u'Search for Kemco\u2019s video with the keyword \u201cKemcoGames\u201d!', u'\u25a0Kemco\u2019s Twitter is  below!', u'@KEMCO_OFFICIAL', u'http://twitter.com/KEMCO_OFFICIAL ', u'\u25a0Search for Kemco\u2019s game with the keyword \u201cKemco\u201d!', u'==================================== ', u'KEMCO\u2019s official Facebook page is below! ', u'http://www.facebook.com/kemco.global ', u'Sale information is available by pressing the \u201cLike!\u201d button. ', u'====================================']","01,19,2012",4.5,20,0,"05,04,2012"
489454710,294,Adventure Bar Story,"03,08,2012",Games,0.99,"RideonJapan,Inc.",5,19.4,"[u'\u2605\u2605 Summer Sale! \u2605\u2605', u'$2.99 -&gt; $0.99 for a Limited Time!', u'\u2605\u2605 #1 RPG in 27 Countries \u2605\u2605', u'Own a Bar Inside an RPG!  -Simulation Management Meets Full Scale RPG-', u""\u201cI'm so high on this because it's the best of every world. I'm not spending hours and hours senselessly grinding, and I'm not cooking fake food until my eyes bleed. The mix of action and simulation feels right. The pacing is good.\u201d -toucharcade.com"", u""\u201cIt's a massive game, with a seriously smart idea that has been executed well. If you're hooked by RPGs and find simulations addictive, this game might just eliminate your free time altogether.\u201d -Pocket Gamer"", u'\u201cWe spent way more time than we bargained for with a near-final build as we got sucked into its intricacies, but we\u2019ve managed to tear our thumbs away from the touchscreen long enough to write up some impressions.\u201d -iFanzine.com', u""Your sister's shabby tavern is facing a takeover by a rich restaurant owner, Gustav. The only way to save it is to become the most popular place in town! "", u'-Adventure the World to Find Ingredients!', u'-Slice Up Monsters For Your Main Dish!', u'-Fish &amp; Farm for Exotic Produce!', u'-Grow your revenue, complete quests, and win contests to rank up your bar!', u'\u2605\u2605Story\u2605\u2605', u""Kamerina's Bar is a typical tavern in the world of an RPG where adventurers gather to share information. YOU are the owner. Gustav, the rich neighborhood restaurant owner, is trying to buyout your tavern. Gustav is a powerful man, if you don't do anything, he will drive you out of business and force you to sell the bar! Best way to defend the take over?  WIN THE CROWD! Become the most popular bar in town, so even Gustav can't touch you!"", u'\u2605\u2605Game Play\u2605\u2605', u'- Slice Up Monsters for Your Main Dish!', u'Battles are the best way to get exotic ingredients. Slice up a dragon, and bring back its meat to cook dragon steak! Steal its eggs to make dragon omelets! ', u'- Rank up Your Bar!', u'Cook with the ingredients gathered in your adventure. Serve customers and win contests to Rank up Your Bar and trigger RPG events. Do you have what it takes to analyze seasonal demand changes and combos? ', u'-Eat to Level Up!', u'Unlike most RPGs, the characters in this game do not level up by fighting monsters.  EXP is gained only through eating!  Make enough food for your customers and party members. The better the food, the stronger they get.', u'- 400 Recipes', u'There are over 400 recipes in the game! Completing the recipe book will be a tough challenge. Lead your party members to over 10 dungeons in the game to look for rare ingredients!', u'\u203biAPs are absolutely unnecessary for the full completion of the game. Only 50-70 hours of your time is! There is also no waiting time in the game. It\u2019s NOT a pay or wait game.', u'\u203bTo all iPad users! This game is NOT universal. Although it is playable on the iPad, you will need to use the 2x zoom option to play it at full screen.']","06,22,2012",4.5,66,7,"07,20,2012"
