AppId,Rank,Name,Description,ReleaseDate,DataDate,Category,Price,Seller,Screenshot,Size,StarCurrentVersion,RatingCurrentVersion
284752907,274,Blackjack,"[u'Money won is money earned in Blackjack!  Also known as 21, the card game found in casinos all over the world can now be experienced on your iPhone or iPod Touch.', u'Currently the most popular iPhone/iPod Blackjack application, anybody can step up to the table at any time of the day and feel the thrill of trying to win BIG money against the house! Strategies such as being able to split or double down allow players to become high rollers all without leaving their seat.', u'In this game of Blackjack, the dealer stays on soft 17 and Blackjack pays 3 to 2.', u'The money used in this game is fictitious, but the strategies you will learn are priceless.', u'Perfect the art of counting cards without fear of losing money! Use this application to sharpen your skills before your next big trip to Vegas! Or Monaco!! Or Macau!!!', u'Follow us on twitter.  http://twitter.com/MobilityWare']","07,11,2008","04,06,2012",Games,0.99,MobilityWare,2,9.7,4.5,47
284791396,90,Solitaire,"[u""If you like Windows Solitaire, you're going to love this app!"", u'The same classic Windows Solitaire game plus the ability to control card movements naturally by just swiping or tapping the cards on your iPhone/iPod touch/iPad.', u""We've always strived to stay true to the classic game of Solitaire (also known as Klondike, the most popular version of Solitaire), and now we've added the unique option of playing games against other people!  "", u'Play the classic game you love all by yourself or you can also compete against other players in real-time. Our Solitaire can deal the same hand to multiple players so they can compete against each other at the same time.  You can have your choice of challenging your friends or be matched up against a completely random player.  Exciting!', u'As one of our users proudly states, ""I never thought I\'d say Solitaire makes for a fun social game, but the latest version is pretty impressive and knowing that I\'m competing against others has changed the motivation to play completely.""', u'Haven\'t won a deal in a while?  Winning Deals are now available.  You can configure the game so that we deal you hands that are guaranteed to have at least one winning solution.  Still can\'t figure out how to win?  The ""Show Me How To Win"" feature is there to help walk you through the moves required to win the deal.', u""Think you have the best Solitaire score around?  With Apple's Game Center enabled, you can check the Game Center leaderboards to see how your Solitaire skills stack up against players all around the world!"", u""Honored by Apple in their 2010 Rewind List, MobilityWare's Solitaire supports drag-and-drop and Tap-To-Move card movements, both portrait and landscape modes, and your game is saved when you get a call or other interruption - features not all iPhone/iPod touch/iPad apps support."", u'This is a universal app, playable in the best resolution available for each Apple device. ', u'FEATURES:', u'-Multiplayer Solitaire', u'-Winning Deals', u'-Show Me How To Win', u'-Game Center leaderboards', u'-Klondike', u'-Draw 1 card', u'-Draw 3 cards', u'-Portrait', u'-Landscape', u'-Custom card backs', u'-Custom backgrounds', u'-Achievements', u'-Right or left handed play', u'-Game state saved when interrupted', u'-Unlimited undo', u'-Auto complete to finish game', u'-Standard scoring', u'-Vegas scoring', u'-Statistics', u'For answers to frequently asked questions, head over to', u'http://www.mobilityware.com/support.php', u'For the latest info and what we are up to, check out', u'http://www.twitter.com/MobilityWare', u'http://www.MobilityWare.com/blog', u'FOLLOW US on Twitter', u'@mobilityware', u'LIKE US on Facebook', u'http://www.facebook.com/mobilityware', u'Created and supported by MobilityWare']","07,11,2008","04,06,2012",Games,0.99,MobilityWare,10,12.4,4.5,1609
281656475,181,PAC-MAN,"[u'Now Supporting Apple Game Center!!', u'PAC-MAN, the world famous arcade classic, returns in this faithful rendition for your iPhone! Who can forget the countless hours and quarters spent avoiding pesky ghosts while chompin\u2019 on dots and gobbling up the fruit for bonus points? Relive the retro arcade action! Play Original, Normal or Easy Mode and guide PAC-MAN with three new control modes. Dodge pesky ghosts by tilting or rotating your iPhone in Accelerometer Mode. Navigate through the mazes by touching the onscreen Directional Pad in D-Pad Mode. Chomp on dots with the swipe of a finger in Swipe Mode. Munch fruits and other items for big points! Chomp all of the dots to advance to the next stage. Go for high scores and high levels! Gain an extra life at 10,000 points! Gobble blinking Power Pellets to weaken ghosts temporarily and eat them up before they change back. Avoid Blinky, the leader of the ghosts, and his fellow ghosts Pinky, Inky and Clyde, or you will lose a life. Lose all your lives and it\u2019s game over!', u'CHECK OUT THESE OTHER COOL NAMCO GAMES: ', u'- Ms. PAC-MAN ', u'- PAC-MAN Championship Edition', u'- Sky Gamblers: Rise of Glory', u'- Puzzle Quest 2 ', u'- MAD TRACKS', u""- Isaac Newton's Gravity "", u'We recommend that you update your device to the latest iOS version before playing. We also recommend that you close the game before downloading the update. To do so, double-tap the home button to display the recent apps bar. Press and hold the Namco application icon until a red minus appears, then tap the minus sign to close the application.']","07,11,2008","04,06,2012",Games,4.99,Namco Networks America Inc. Games,5,2.3,4.5,462
284815117,59,SCRABBLE,"[u'CONNECT AND PLAY WITH FRIENDS! Now it\u2019s easier than ever to find friends playing SCRABBLE. Square off and play up to 50 games at once \u2013 more than any other word game on the App Store! Even sharpen your skills against challenging computer opponents. See why SCRABBLE is America\u2019s Favorite Word Game!  ', u'**Want to play for FREE? Check out SCRABBLE FREE on the App Store now.**', u'SO MANY WAYS TO PLAY!', u'\u2022 Challenge friends via Facebook and more', u'\u2022 Play against a random opponent with a single touch ', u'\u2022 Pass \u2018N Play with up to 4 players', u'\u2022 Go head-to-head against a friend on an iPhone or iPad', u'\u2022 Play solo against computer opponents', u'CHECK OUT THESE OTHER SMART FEATURES', u'\u2022 See where your best scores rank on GAME CENTER leaderboards ', u'\u2022 Become a SCRABBLE master with the exclusive TEACHER FEATURE - see what your best word COULD have been after every turn', u'\u2022 View every detail on the board with HD-quality graphics made to maximize the Retina display', u'\u2022 Get into a game right from your Facebook mobile app', u'\u2022 Talk a good game with enhanced chat and notification features', u'LOSS FOR WORDS?', u'Use the in-game word list, built-in official SCRABBLE dictionary, or the exclusive Best Word feature to see your highest scoring choices.', u'Don\u2019t settle for imitations. Get the official SCRABBLE game! ', u'** NOTE ABOUT FACEBOOK PERMISSIONS &amp; PRIVACY: We ONLY use Facebook to help you connect with friends. After you log in to SCRABBLE, Facebook will request permissions about posts and access. Please \u201callow\u201d this request. Note that SCRABBLE will NOT access your personal information, and SCRABBLE will prompt you in the game for your specific permission to post challenges, invitations, and Bingo notices to your Wall. You have total control. We ALWAYS respect your privacy! **', u'_______________________________________', u""** DON'T MISS OUR OTHER EXCITING GAMES! ** The Sims\u2122 3, TETRIS\xae, MONOPOLY, Madden NFL 11 by EA Sports\u2122, Pogo Games FREE, Liqua Pop, ROCK BAND\xae Reloaded, Need for Speed\u2122 Hot Pursuit &amp; Surviving High School FREE"", u'GIFT THIS APP:  Click the \u201cBuy App\u201d arrow on the iTunes\xae App Store', u'Be the first to know! Get inside EA info on great deals, plus the latest game updates, tips &amp; more\u2026', u'VISIT US: ea.com/iphone', u'FOLLOW US: twitter.com/eamobile', u'LIKE US: facebook.com/eamobile', u'WATCH US: youtube.com/eamobilegames']","07,11,2008","04,06,2012",Games,1.99,Electronic Arts,5,13,4.5,839
281966695,222,Super Monkey Ball,"[u""Let\u2019s roll!\xa0 Guide a cute little monkey encased in a transparent ball to victory by tilting and rolling him through a variety of slopes and turns. You must navigate a large variety of obstacle courses to reach goal lines within set time limits.  Collect as many bananas as you can along the way and you'll be able to increase your remaining lives.\xa0 Play through five worlds and 110 stages, designed to be fun for both first-time players and long-time Super Monkey Ball fans.  Enjoy rich 3D graphics with an easy-to-master control system that utilizes the accelerometer inside your device.  Insanely fun and addicting!\xa0"", u'_________________________________________', u'CHECK OUT other Sega games: ', u'- Sonic the Hedgehog ', u'- Sonic the Hedgehog 2', u'- Super Monkey Ball 2', u'- Super Monkey Ball 2: Sakura Edition for iPad', u'- Golden Axe ', u'- Streets of Rage', u'- Columns Deluxe', u'FOLLOW US at ', u'twitter.com/sega ', u'facebook.com/sega']","07,11,2008","07,06,2012",Games,0.99,SEGA,5,36.3,3.5,13613
289530584,282,Diner Dash Deluxe,"[u'\u2605 Play the hit game that first launched the Dash craze! With over 20 million downloads to date, Dash is one of the biggest gaming franchises ever on the iPhone and iPad.', u'\u2605  Get the high-flying Zesty Zeppelin restaurant for FREE in this special Deluxe edition of Diner Dash.', u'\u2605 \u201cIn the casual gaming world, Diner Dash is like the Harry Potter books. Its influence is irrefutable.\u201d \u2013 Macworld ', u'Serve up fun in this chart-topping hit game! Help Flo, a spunky entrepreneur, grow her signature diner from a greasy spoon to a five-star joint.  Delight eager customers by seating, serving, and clearing tables quickly to earn big tips. Soothe impatient guests before they get angry and skip out on the bill. Tap and slide your way to the top of the restaurant ladder in this worldwide hit game! ', u'Game Features: ', u'* Get hours of fast-paced fun with tons of challenging levels!', u'* Enjoy Diner Dash Deluxe on your iPhone and iPad.', u'* Serve fun and quirky guests including business women, vampires, and more!', u'* Explore 6 colorful themed restaurants, including the FREE Zesty Zeppelin.', u'* Shop the Dash Mart for boosts and upgrades to help you get expert scores.', u'* Unlock exclusive additional restaurants, including the Courtyard Cafe and Undersea Adventure, through in-App purchase.', u'* Show off your scores and achievements with GameCenter.', u'Love Diner Dash Deluxe? Try our other addictive games, including DinerTown Zoo, Hotel Dash, Wedding Dash and Cooking Dash. You\u2019re guaranteed to see familiar faces that you know and love.', u'*******************', u'Want more from PlayFirst?', u'Facebook:', u'http://www.facebook.com/dinerdash', u'Twitter: @dinerdash', u'Blog:', u'http://blog.playfirst.com', u'Website:', u'www.playfirst.com', u'*******************']","09,02,2008","04,06,2012",Games,2.99,"PlayFirst, Inc.",5,19.4,4,273
292421271,169,Fieldrunners,"[u'The BEST Mobile Game of 2009 award!', u'=== #BecauseWeMay SALE, 33% off! ===', u'=== Curious? http://BecauseWeMay.com ===', u'""Best Mobile Game Award!""', u'""Excellence in Art Award!""', u'New content coming soon!', u'NOTE: You DO NOT have to pay for the the maps you have already purchased. Simply click BUY and the maps will unlock for FREE.', u'TIME Magazine ranks Fieldrunners in its Top 10 Video Games of 2008 list amongst Grand Theft Auto IV, Rock Band 2, and many more!', u'PC Magazine selects Fieldrunners as one of its ""Must-Have iPhone Games""', u""Fieldrunners is the only iPhone game ranked on EDGE Magazine's Top 30 of 2008."", u'Boston Herald rates Fieldrunners as the #3 iPhone game of 2008.', u'Subatomic Studios is proud to announce that we will be continuing our commitment to our fans by offering free content updates as well as premium DLC.  Stay tuned as we plan to offer new free content in the near future.', u'Thank you.', u'-----------------------------', u'Descend into the world of FIELDRUNNERS, the most anticipated and visually stunning game in mobile TOWER DEFENSE history! ', u'It is the Tetris and Bejeweled of the Tower Defense genre!', u'Defend and control the field using a diverse selection of upgradeable towers in a limitless adventure, using a wide array of tactics and strategies against countless waves of unique land and air combatants!', u'Countless hours of entertainment and replayable challenges!  Enjoy a growing experience through many content additions!', u'Do you have what it takes to dominate the fieldrunners and rise to the top as the ultimate Tower Defense master?', u'---------------------------------------', u'Follow Fieldrunners on Twitter to receive more information at http://twitter.com/fieldrunners', u'*-- Remember to choose your star rating, as it defaults to 1!--*', u'Seek further technical support in the forums at http://www.fieldrunners.com']","10,05,2008","05,25,2012",Games,1.99,"Subatomic Studios, LLC",5,14,4,681
294919686,290,Crazy Snowboard,"[u'Download the #1 mobile snowboard game in the world with more than 12 million players! Also check out our new platform game DIVERSION.', u'Get ready for some wicked-cool snowboarding action on your iPhone! Crazy Snowboard has something for everyone:', u'- ""WiFi Remote"" control', u'- Game Center support', u'- Universal: iPad, iPhone &amp; iPod Touch native', u'- Retina display graphics', u'- iOS5+ compatible', u'- In-air trick system: spin, flip and grab!', u'- 30 missions', u'- 10 achievements to earn', u'- 13 riders to unlock', u'- 13 boards to unlock', u'- 16 touch-activated in-air tricks to unlock', u'- Grinding: rails, boxes, logs, candycanes!', u'- Smashable obstacles: zombies, snowmen, elves!', u'- Intuitive controls - really feels like you are boarding!', u'- Quick pick-up-and-play', u'- 4 Endless free-ride modes', u'- Hours of challenging game-play', u""Waiting for a bus? Stuck in line? No matter where you are, now you can hit the slopes! Just fire up Crazy Snowboard, tilt your device left and right to steer and you're there!"", u""Ready for some massive airs? Just touch the screen (anywhere) hold down and you'll crouch ready to spring. Release your touch on top of a ramp and you'll get a huge boost. Then link your tricks together to increase your multiplier and score big."", u""How about some grinding? We've got rails, boxes, logs, candycanes (yes, candycanes!) all ready for your grinding pleasure. See how many you can link together to ramp up your bonus multiplier and boost your score."", u'Featuring Game Center so you can go head-to-head against your friends to see who is the Crazy Snowboard champion! ', u'Check out http://iphone.ezone.com for screenshots and game play videos.', u'Other Ezone.com games you may like: Diversion, Turkey Blast: Reloaded, Scarecrow, and Galactic Gunner.']","10,30,2008","04,06,2012",Games,0.99,Ezone.com,10,40,4.5,817
294026381,295,Sally's Salon Luxury Edition,"[u'Game Description:', u'Help Sally spread her salon savvy and make ""the cut"" in this stylish challenge. ', u'CRITIC REVIEWS', u'""Sally\'s Salon is definitely one of those happy little stress-relievers that we just can\'t get enough of."" - Gamezeebo.com', u'""I just spent 67.4% of today cutting, drying, and washing, little cartoon avatars hair. You\u2019ve been warned \u2014 it\u2019s so addicting!!"" - iJustine', u'""With all the different activities you have to do in this game, you\'ll definitely become hooked."" - AppVee.com (4.4/5 Stars)', u'Go from glum to glam in the all-new Luxury Edition of the hit time management game for iPhone. ', u""Sally's Salon just received its very own makeover and is ready to dazzle you with classic fun as well as fresh surprises. Enjoy fantastic new features including 5 additional locations with exciting challenges, more customer types, extra trophies, upgraded graphics, enhanced visual effects, intuitive landscape controls, and more! "", u""Join Sally in this fabulous fight to beautify little old ladies, punk rockers and impatient celebrities with the hair styles they crave. From humble shopping mall beginnings to super star status in Hollywood, you'll help her wash, dye, cut, style and much more. Use your earnings to hire helpful employees, purchase salon upgrades, and keep clients happy with soothing accessories. Can you make the cut in this fashionably fun game?"", u'FEATURES INCLUDE: ', u'\u2022 Join Sally in this dazzling makeover of the hit Time Management game.', u'\u2022 Help her wash, dye, cut, style and much more on her way to super star status. ', u'\u2022 Enjoy new features including 5 additional locations, upgraded graphics, intuitive landscape controls, and enhanced visual effects.', u'\u2022 Serve more customer types, earn new trophies and score new ranks.', u'\u2022 Hire helpful employees, purchase salon upgrades, and keep clients happy.', u""Highly recommended for fans of Sally's Spa, Cake Mania Celebrity Chef and Diner Dash."", u'GameHouse Guarantee: We take pride in the loyalty and trust our customers show us when they purchase a GameHouse product. If you are not completely satisfied with your recent purchase, please contact us at iphone-games@real.com.', u'Recommended for fans of time management games such as: Diner Dash and Cake Mania.', u'Follow us on Twitter and Facebook!']","11,03,2008","06,29,2012",Games,2.99,GameHouse,5,55.9,4,2334
295207047,295,Arcade Hoops Basketball???,"[u""Your favorite basketball game just got better!  We've just added two new fun skins for even more variety in game play - Robot and Carnival. And don't forget our Christmas skin in the holiday season!"", u'Beat the buzzer in this classic arcade game! In Skyworks\xae Arcade Hoops Basketball\u2122, it\u2019s a race against the clock to sink as many baskets as you can.', u'With 3 game modes, multiple game skins, Game Center and an option to shoot to the beat of your own music, you\u2019ll never get bored. Connect to Facebook to challenge your friends for serious bragging rights!', u'WHAT THE PLAYERS SAY:', u'\u201cA great game to play and will have players addicted for a long time.\u201d \u2013 Gamezone', u'\u201cArcade Hoops Basketball is really well done... Good value and good quality.\u201d \u2013 148 Apps', u'\u201c..one of the most realistic and fun games I have used on the iPhone.\u201d \u2013 Mike\u2019s iPhone Blog', u'FEATURES:', u'- Three Fun and Challenging Game Modes', u'-- Classic: sink the most 2-point shots in 45 seconds', u'-- Progressive: score the most 2 and 3 point shots in 99 seconds against a moving backboard', u'-- 3 Point: score as many 3 pointers as you can in 45 seconds', u'- Eight unique skins: Choose your favorite themed environment', u'-- Arcade: Play using the classic look of arcade hoops', u'-- New! Carnival: what really is behind \u201cthe curtain\u201d, complete with juggler and carnival ball', u'-- New! Robot: get out the oil! Robot hands, robot cage and even a robot ball!', u'-- Zombies: Play as a member of the undead', u'-- Space: a celestial shooting experience featuring constellations and a special \u201cMoon\u201d basketball', u'-- Doodle: doodle drawings and a doodle cage!', u'-- Christmas: Feeling festive? Shoot your baskets alongside a Christmas Tree with a giant ornament basketball!', u'-- St Patrick\u2019s Day: a green &amp; white ball plus all the Irish music you can handle', u'- Game Center', u'- Choose your own music: Select in-game music or use your own music library', u'- Local high score boards', u'- Facebook Integration', u'- Challenge a friend: play against your friends!', u'When you\u2019re taking a break from Arcade Hoops Basketball, try out Skyworks\u2019 other hit titles such as WORLD CUP TABLE TENNIS\u2122 and ARCADE BOWLING\u2122. Or, just search for \u201cSkyworks\u201d in the App Store search bar, find your favorite games, and have a BLAST!', u'If you like our games, show us some love on Twitter (@SkyworksGames) and Facebook (http://on.fb.me/skyworks)! Thanks, and get to playing!']","11,05,2008","04,13,2012",Games,0.99,Skyworks,5,17.9,4.5,21
